student_id,student_name,stop_id,stop_address,walking_distance,walking_time,pickup_time,bus_number,emergency_contact
STU0000,Student_0,STOP_001,"Near 34.053308, -118.244669",0.64 miles,13 minutes,07:03,TBD,Transportation Office: 555-0123
STU0001,Student_1,STOP_001,"Near 34.053308, -118.244669",0.30 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0002,Student_2,STOP_000,"Near 34.086016, -118.300085",0.31 miles,6 minutes,07:00,TBD,Transportation Office: 555-0123
STU0003,Student_3,STOP_008,"Near 34.039911, -118.247947",0.61 miles,12 minutes,07:24,TBD,Transportation Office: 555-0123
STU0004,Student_4,STOP_001,"Near 34.053308, -118.244669",0.34 miles,7 minutes,07:03,TBD,Transportation Office: 555-0123
STU0005,Student_5,STOP_008,"Near 34.039911, -118.247947",1.08 miles,22 minutes,07:24,TBD,Transportation Office: 555-0123
STU0006,Student_6,STOP_007,"Near 34.051725, -118.224663",0.79 miles,16 minutes,07:21,TBD,Transportation Office: 555-0123
STU0007,Student_7,STOP_003,"Near 34.029460, -118.217263",1.06 miles,21 minutes,07:09,TBD,Transportation Office: 555-0123
STU0008,Student_8,STOP_008,"Near 34.039911, -118.247947",0.94 miles,19 minutes,07:24,TBD,Transportation Office: 555-0123
STU0009,Student_9,STOP_001,"Near 34.053308, -118.244669",0.52 miles,10 minutes,07:03,TBD,Transportation Office: 555-0123
STU0010,Student_10,STOP_000,"Near 34.086016, -118.300085",2.26 miles,45 minutes,07:00,TBD,Transportation Office: 555-0123
STU0011,Student_11,STOP_002,"Near 34.083211, -118.211192",1.15 miles,23 minutes,07:06,TBD,Transportation Office: 555-0123
STU0012,Student_12,STOP_006,"Near 34.055113, -118.270559",0.81 miles,16 minutes,07:18,TBD,Transportation Office: 555-0123
STU0013,Student_13,STOP_008,"Near 34.039911, -118.247947",0.55 miles,11 minutes,07:24,TBD,Transportation Office: 555-0123
STU0014,Student_14,STOP_001,"Near 34.053308, -118.244669",0.16 miles,3 minutes,07:03,TBD,Transportation Office: 555-0123
STU0015,Student_15,STOP_006,"Near 34.055113, -118.270559",1.14 miles,23 minutes,07:18,TBD,Transportation Office: 555-0123
STU0016,Student_16,STOP_005,"Near 34.079188, -118.242134",1.28 miles,26 minutes,07:15,TBD,Transportation Office: 555-0123
STU0017,Student_17,STOP_001,"Near 34.053308, -118.244669",0.73 miles,15 minutes,07:03,TBD,Transportation Office: 555-0123
STU0018,Student_18,STOP_001,"Near 34.053308, -118.244669",0.62 miles,12 minutes,07:03,TBD,Transportation Office: 555-0123
STU0019,Student_19,STOP_008,"Near 34.039911, -118.247947",1.48 miles,30 minutes,07:24,TBD,Transportation Office: 555-0123
STU0020,Student_20,STOP_007,"Near 34.051725, -118.224663",0.71 miles,14 minutes,07:21,TBD,Transportation Office: 555-0123
STU0021,Student_21,STOP_001,"Near 34.053308, -118.244669",1.12 miles,22 minutes,07:03,TBD,Transportation Office: 555-0123
STU0022,Student_22,STOP_001,"Near 34.053308, -118.244669",0.25 miles,5 minutes,07:03,TBD,Transportation Office: 555-0123
STU0023,Student_23,STOP_007,"Near 34.051725, -118.224663",0.36 miles,7 minutes,07:21,TBD,Transportation Office: 555-0123
STU0024,Student_24,STOP_003,"Near 34.029460, -118.217263",0.89 miles,18 minutes,07:09,TBD,Transportation Office: 555-0123
STU0025,Student_25,STOP_001,"Near 34.053308, -118.244669",0.23 miles,5 minutes,07:03,TBD,Transportation Office: 555-0123
STU0026,Student_26,STOP_001,"Near 34.053308, -118.244669",0.33 miles,7 minutes,07:03,TBD,Transportation Office: 555-0123
STU0027,Student_27,STOP_008,"Near 34.039911, -118.247947",0.49 miles,10 minutes,07:24,TBD,Transportation Office: 555-0123
STU0028,Student_28,STOP_001,"Near 34.053308, -118.244669",0.44 miles,9 minutes,07:03,TBD,Transportation Office: 555-0123
STU0029,Student_29,STOP_001,"Near 34.053308, -118.244669",0.51 miles,10 minutes,07:03,TBD,Transportation Office: 555-0123
STU0030,Student_30,STOP_001,"Near 34.053308, -118.244669",0.19 miles,4 minutes,07:03,TBD,Transportation Office: 555-0123
STU0031,Student_31,STOP_008,"Near 34.039911, -118.247947",0.09 miles,2 minutes,07:24,TBD,Transportation Office: 555-0123
STU0032,Student_32,STOP_001,"Near 34.053308, -118.244669",0.37 miles,7 minutes,07:03,TBD,Transportation Office: 555-0123
STU0033,Student_33,STOP_001,"Near 34.053308, -118.244669",0.66 miles,13 minutes,07:03,TBD,Transportation Office: 555-0123
STU0034,Student_34,STOP_006,"Near 34.055113, -118.270559",1.29 miles,26 minutes,07:18,TBD,Transportation Office: 555-0123
STU0035,Student_35,STOP_003,"Near 34.029460, -118.217263",0.27 miles,5 minutes,07:09,TBD,Transportation Office: 555-0123
STU0036,Student_36,STOP_001,"Near 34.053308, -118.244669",0.70 miles,14 minutes,07:03,TBD,Transportation Office: 555-0123
STU0037,Student_37,STOP_001,"Near 34.053308, -118.244669",0.40 miles,8 minutes,07:03,TBD,Transportation Office: 555-0123
STU0038,Student_38,STOP_004,"Near 34.011256, -118.258943",0.82 miles,16 minutes,07:12,TBD,Transportation Office: 555-0123
STU0039,Student_39,STOP_004,"Near 34.011256, -118.258943",1.99 miles,40 minutes,07:12,TBD,Transportation Office: 555-0123
STU0040,Student_40,STOP_001,"Near 34.053308, -118.244669",0.58 miles,12 minutes,07:03,TBD,Transportation Office: 555-0123
STU0041,Student_41,STOP_000,"Near 34.086016, -118.300085",1.70 miles,34 minutes,07:00,TBD,Transportation Office: 555-0123
STU0042,Student_42,STOP_005,"Near 34.079188, -118.242134",0.60 miles,12 minutes,07:15,TBD,Transportation Office: 555-0123
STU0043,Student_43,STOP_001,"Near 34.053308, -118.244669",0.63 miles,13 minutes,07:03,TBD,Transportation Office: 555-0123
STU0044,Student_44,STOP_007,"Near 34.051725, -118.224663",0.49 miles,10 minutes,07:21,TBD,Transportation Office: 555-0123
STU0045,Student_45,STOP_006,"Near 34.055113, -118.270559",0.55 miles,11 minutes,07:18,TBD,Transportation Office: 555-0123
STU0046,Student_46,STOP_007,"Near 34.051725, -118.224663",0.09 miles,2 minutes,07:21,TBD,Transportation Office: 555-0123
STU0047,Student_47,STOP_003,"Near 34.029460, -118.217263",1.83 miles,37 minutes,07:09,TBD,Transportation Office: 555-0123
STU0048,Student_48,STOP_001,"Near 34.053308, -118.244669",0.31 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0049,Student_49,STOP_001,"Near 34.053308, -118.244669",0.07 miles,1 minutes,07:03,TBD,Transportation Office: 555-0123
STU0050,Student_50,STOP_001,"Near 34.053308, -118.244669",0.66 miles,13 minutes,07:03,TBD,Transportation Office: 555-0123
STU0051,Student_51,STOP_000,"Near 34.086016, -118.300085",0.62 miles,12 minutes,07:00,TBD,Transportation Office: 555-0123
STU0052,Student_52,STOP_001,"Near 34.053308, -118.244669",0.59 miles,12 minutes,07:03,TBD,Transportation Office: 555-0123
STU0053,Student_53,STOP_002,"Near 34.083211, -118.211192",1.71 miles,34 minutes,07:06,TBD,Transportation Office: 555-0123
STU0054,Student_54,STOP_001,"Near 34.053308, -118.244669",0.32 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0055,Student_55,STOP_001,"Near 34.053308, -118.244669",0.23 miles,5 minutes,07:03,TBD,Transportation Office: 555-0123
STU0056,Student_56,STOP_006,"Near 34.055113, -118.270559",1.46 miles,29 minutes,07:18,TBD,Transportation Office: 555-0123
STU0057,Student_57,STOP_007,"Near 34.051725, -118.224663",0.53 miles,11 minutes,07:21,TBD,Transportation Office: 555-0123
STU0058,Student_58,STOP_003,"Near 34.029460, -118.217263",0.64 miles,13 minutes,07:09,TBD,Transportation Office: 555-0123
STU0059,Student_59,STOP_001,"Near 34.053308, -118.244669",0.19 miles,4 minutes,07:03,TBD,Transportation Office: 555-0123
STU0060,Student_60,STOP_007,"Near 34.051725, -118.224663",1.14 miles,23 minutes,07:21,TBD,Transportation Office: 555-0123
STU0061,Student_61,STOP_001,"Near 34.053308, -118.244669",0.29 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0062,Student_62,STOP_001,"Near 34.053308, -118.244669",0.89 miles,18 minutes,07:03,TBD,Transportation Office: 555-0123
STU0063,Student_63,STOP_001,"Near 34.053308, -118.244669",0.23 miles,5 minutes,07:03,TBD,Transportation Office: 555-0123
STU0064,Student_64,STOP_008,"Near 34.039911, -118.247947",0.66 miles,13 minutes,07:24,TBD,Transportation Office: 555-0123
STU0065,Student_65,STOP_000,"Near 34.086016, -118.300085",0.00 miles,0 minutes,07:00,TBD,Transportation Office: 555-0123
STU0066,Student_66,STOP_003,"Near 34.029460, -118.217263",2.10 miles,42 minutes,07:09,TBD,Transportation Office: 555-0123
STU0067,Student_67,STOP_007,"Near 34.051725, -118.224663",0.36 miles,7 minutes,07:21,TBD,Transportation Office: 555-0123
STU0068,Student_68,STOP_001,"Near 34.053308, -118.244669",0.74 miles,15 minutes,07:03,TBD,Transportation Office: 555-0123
STU0069,Student_69,STOP_005,"Near 34.079188, -118.242134",0.14 miles,3 minutes,07:15,TBD,Transportation Office: 555-0123
STU0070,Student_70,STOP_001,"Near 34.053308, -118.244669",0.43 miles,9 minutes,07:03,TBD,Transportation Office: 555-0123
STU0071,Student_71,STOP_007,"Near 34.051725, -118.224663",0.86 miles,17 minutes,07:21,TBD,Transportation Office: 555-0123
STU0072,Student_72,STOP_005,"Near 34.079188, -118.242134",0.75 miles,15 minutes,07:15,TBD,Transportation Office: 555-0123
STU0073,Student_73,STOP_008,"Near 34.039911, -118.247947",0.13 miles,3 minutes,07:24,TBD,Transportation Office: 555-0123
STU0074,Student_74,STOP_000,"Near 34.086016, -118.300085",1.09 miles,22 minutes,07:00,TBD,Transportation Office: 555-0123
STU0075,Student_75,STOP_008,"Near 34.039911, -118.247947",0.62 miles,12 minutes,07:24,TBD,Transportation Office: 555-0123
STU0076,Student_76,STOP_006,"Near 34.055113, -118.270559",0.88 miles,18 minutes,07:18,TBD,Transportation Office: 555-0123
STU0077,Student_77,STOP_001,"Near 34.053308, -118.244669",0.10 miles,2 minutes,07:03,TBD,Transportation Office: 555-0123
STU0078,Student_78,STOP_001,"Near 34.053308, -118.244669",0.25 miles,5 minutes,07:03,TBD,Transportation Office: 555-0123
STU0079,Student_79,STOP_001,"Near 34.053308, -118.244669",0.55 miles,11 minutes,07:03,TBD,Transportation Office: 555-0123
STU0080,Student_80,STOP_006,"Near 34.055113, -118.270559",1.29 miles,26 minutes,07:18,TBD,Transportation Office: 555-0123
STU0081,Student_81,STOP_006,"Near 34.055113, -118.270559",0.51 miles,10 minutes,07:18,TBD,Transportation Office: 555-0123
STU0082,Student_82,STOP_001,"Near 34.053308, -118.244669",0.52 miles,10 minutes,07:03,TBD,Transportation Office: 555-0123
STU0083,Student_83,STOP_007,"Near 34.051725, -118.224663",0.60 miles,12 minutes,07:21,TBD,Transportation Office: 555-0123
STU0084,Student_84,STOP_001,"Near 34.053308, -118.244669",0.55 miles,11 minutes,07:03,TBD,Transportation Office: 555-0123
STU0085,Student_85,STOP_003,"Near 34.029460, -118.217263",0.20 miles,4 minutes,07:09,TBD,Transportation Office: 555-0123
STU0086,Student_86,STOP_008,"Near 34.039911, -118.247947",0.51 miles,10 minutes,07:24,TBD,Transportation Office: 555-0123
STU0087,Student_87,STOP_007,"Near 34.051725, -118.224663",0.47 miles,9 minutes,07:21,TBD,Transportation Office: 555-0123
STU0088,Student_88,STOP_001,"Near 34.053308, -118.244669",0.26 miles,5 minutes,07:03,TBD,Transportation Office: 555-0123
STU0089,Student_89,STOP_003,"Near 34.029460, -118.217263",0.70 miles,14 minutes,07:09,TBD,Transportation Office: 555-0123
STU0090,Student_90,STOP_006,"Near 34.055113, -118.270559",1.48 miles,30 minutes,07:18,TBD,Transportation Office: 555-0123
STU0091,Student_91,STOP_001,"Near 34.053308, -118.244669",0.05 miles,1 minutes,07:03,TBD,Transportation Office: 555-0123
STU0092,Student_92,STOP_001,"Near 34.053308, -118.244669",0.49 miles,10 minutes,07:03,TBD,Transportation Office: 555-0123
STU0093,Student_93,STOP_005,"Near 34.079188, -118.242134",2.55 miles,51 minutes,07:15,TBD,Transportation Office: 555-0123
STU0094,Student_94,STOP_008,"Near 34.039911, -118.247947",0.92 miles,18 minutes,07:24,TBD,Transportation Office: 555-0123
STU0095,Student_95,STOP_001,"Near 34.053308, -118.244669",0.30 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0096,Student_96,STOP_006,"Near 34.055113, -118.270559",0.00 miles,0 minutes,07:18,TBD,Transportation Office: 555-0123
STU0097,Student_97,STOP_001,"Near 34.053308, -118.244669",0.61 miles,12 minutes,07:03,TBD,Transportation Office: 555-0123
STU0098,Student_98,STOP_001,"Near 34.053308, -118.244669",0.27 miles,5 minutes,07:03,TBD,Transportation Office: 555-0123
STU0099,Student_99,STOP_004,"Near 34.011256, -118.258943",0.60 miles,12 minutes,07:12,TBD,Transportation Office: 555-0123
STU0100,Student_100,STOP_005,"Near 34.079188, -118.242134",0.91 miles,18 minutes,07:15,TBD,Transportation Office: 555-0123
STU0101,Student_101,STOP_008,"Near 34.039911, -118.247947",0.51 miles,10 minutes,07:24,TBD,Transportation Office: 555-0123
STU0102,Student_102,STOP_005,"Near 34.079188, -118.242134",2.21 miles,44 minutes,07:15,TBD,Transportation Office: 555-0123
STU0103,Student_103,STOP_007,"Near 34.051725, -118.224663",0.20 miles,4 minutes,07:21,TBD,Transportation Office: 555-0123
STU0104,Student_104,STOP_005,"Near 34.079188, -118.242134",1.16 miles,23 minutes,07:15,TBD,Transportation Office: 555-0123
STU0105,Student_105,STOP_001,"Near 34.053308, -118.244669",0.17 miles,3 minutes,07:03,TBD,Transportation Office: 555-0123
STU0106,Student_106,STOP_001,"Near 34.053308, -118.244669",0.22 miles,4 minutes,07:03,TBD,Transportation Office: 555-0123
STU0107,Student_107,STOP_008,"Near 34.039911, -118.247947",1.04 miles,21 minutes,07:24,TBD,Transportation Office: 555-0123
STU0108,Student_108,STOP_001,"Near 34.053308, -118.244669",0.44 miles,9 minutes,07:03,TBD,Transportation Office: 555-0123
STU0109,Student_109,STOP_001,"Near 34.053308, -118.244669",0.31 miles,6 minutes,07:03,TBD,Transportation Office: 555-0123
STU0110,Student_110,STOP_005,"Near 34.079188, -118.242134",1.06 miles,21 minutes,07:15,TBD,Transportation Office: 555-0123
STU0111,Student_111,STOP_001,"Near 34.053308, -118.244669",0.03 miles,1 minutes,07:03,TBD,Transportation Office: 555-0123
STU0112,Student_112,STOP_006,"Near 34.055113, -118.270559",0.66 miles,13 minutes,07:18,TBD,Transportation Office: 555-0123
STU0113,Student_113,STOP_001,"Near 34.053308, -118.244669",1.02 miles,20 minutes,07:03,TBD,Transportation Office: 555-0123
